0,1,2,3,4,5,6,7,8,9,10
"[487, 341]","[527, 307]","[449, 298]","[655, 1148]","[153, 433]","[652, 1230]","[187, 342]","[614, 1219]","[203, 333]","[604, 1188]","[203, 365]"
"[486, 329]","[530, 290]","[444, 286]","[652, 1143]","[137, 436]","[656, 1233]","[169, 332]","[618, 1216]","[188, 318]","[611, 1186]","[193, 359]"
"[485, 328]","[532, 289]","[441, 286]","[644, 1135]","[137, 432]","[642, 1207]","[169, 332]","[609, 1185]","[190, 314]","[606, 1158]","[194, 355]"
"[485, 328]","[534, 289]","[440, 285]","[633, 1122]","[135, 428]","[628, 1191]","[167, 328]","[598, 1164]","[190, 312]","[597, 1139]","[194, 354]"
"[484, 327]","[535, 288]","[438, 283]","[627, 1127]","[137, 425]","[625, 1188]","[163, 327]","[595, 1164]","[188, 312]","[591, 1139]","[195, 355]"
"[484, 327]","[535, 287]","[437, 283]","[626, 1131]","[140, 424]","[620, 1192]","[164, 326]","[592, 1161]","[192, 314]","[587, 1136]","[200, 357]"
"[485, 326]","[536, 286]","[437, 282]","[625, 1143]","[141, 422]","[617, 1216]","[166, 321]","[588, 1187]","[194, 309]","[585, 1160]","[203, 352]"
"[485, 327]","[537, 285]","[436, 283]","[623, 1161]","[142, 417]","[616, 1237]","[167, 317]","[587, 1210]","[196, 304]","[585, 1181]","[205, 347]"
"[484, 327]","[537, 285]","[436, 284]","[626, 1156]","[139, 417]","[615, 1240]","[166, 320]","[585, 1213]","[195, 306]","[585, 1183]","[203, 350]"
"[484, 327]","[537, 284]","[435, 284]","[625, 1166]","[138, 418]","[615, 1247]","[164, 318]","[585, 1221]","[195, 306]","[584, 1191]","[203, 351]"
"[482, 328]","[537, 284]","[434, 285]","[625, 1189]","[138, 415]","[615, 1262]","[163, 314]","[584, 1253]","[193, 301]","[584, 1220]","[203, 347]"
"[481, 327]","[536, 282]","[433, 284]","[625, 1189]","[137, 415]","[614, 1262]","[163, 315]","[584, 1247]","[193, 302]","[583, 1217]","[202, 347]"
"[480, 327]","[537, 282]","[433, 283]","[625, 1190]","[134, 415]","[615, 1263]","[159, 316]","[583, 1244]","[188, 302]","[584, 1215]","[198, 346]"
