0,1,2,3,4,5,6,7,8,9,10
"[483, 279]","[536, 242]","[432, 245]","[606, 969]","[254, 970]","[543, 1000]","[256, 1019]","[527, 948]","[277, 973]","[545, 931]","[281, 950]"
"[483, 283]","[535, 246]","[434, 250]","[634, 964]","[243, 993]","[586, 1000]","[239, 1043]","[569, 948]","[258, 988]","[581, 931]","[266, 969]"
"[483, 285]","[534, 249]","[435, 252]","[648, 957]","[230, 994]","[608, 995]","[225, 1033]","[596, 942]","[243, 982]","[603, 927]","[252, 968]"
"[483, 287]","[533, 250]","[435, 254]","[650, 953]","[208, 988]","[606, 994]","[198, 1025]","[587, 942]","[219, 978]","[601, 927]","[229, 964]"
"[483, 287]","[532, 250]","[435, 254]","[644, 955]","[209, 991]","[595, 995]","[200, 1035]","[581, 943]","[225, 995]","[594, 928]","[234, 977]"
"[483, 287]","[532, 250]","[435, 254]","[646, 956]","[209, 988]","[597, 995]","[199, 1030]","[581, 945]","[220, 992]","[594, 928]","[231, 972]"
"[483, 287]","[531, 250]","[435, 253]","[652, 956]","[211, 986]","[608, 996]","[203, 1031]","[593, 946]","[225, 996]","[602, 929]","[235, 973]"
"[482, 287]","[531, 250]","[435, 253]","[651, 956]","[216, 984]","[607, 997]","[209, 1028]","[590, 947]","[233, 992]","[601, 930]","[241, 968]"
"[481, 287]","[529, 250]","[434, 253]","[655, 953]","[220, 984]","[614, 996]","[216, 1026]","[599, 946]","[240, 989]","[608, 928]","[249, 969]"
"[480, 287]","[529, 250]","[434, 253]","[654, 953]","[220, 983]","[613, 996]","[214, 1024]","[599, 945]","[236, 985]","[607, 928]","[246, 969]"
"[479, 287]","[528, 250]","[433, 253]","[652, 952]","[217, 983]","[608, 995]","[212, 1024]","[595, 944]","[230, 983]","[605, 927]","[240, 968]"
"[478, 287]","[527, 250]","[432, 253]","[647, 953]","[218, 993]","[599, 995]","[214, 1073]","[588, 944]","[234, 998]","[596, 927]","[243, 974]"
"[477, 287]","[527, 250]","[431, 253]","[635, 953]","[206, 1007]","[584, 995]","[212, 1100]","[576, 944]","[227, 1012]","[585, 927]","[236, 994]"
"[477, 287]","[526, 250]","[431, 253]","[624, 954]","[196, 1028]","[569, 995]","[201, 1138]","[548, 944]","[219, 1037]","[570, 927]","[228, 1017]"
"[477, 287]","[526, 250]","[430, 253]","[619, 956]","[195, 1031]","[563, 996]","[203, 1137]","[539, 944]","[219, 1037]","[564, 927]","[229, 1010]"
"[476, 287]","[526, 250]","[430, 253]","[614, 958]","[193, 1047]","[557, 997]","[195, 1160]","[533, 945]","[207, 1102]","[552, 928]","[228, 1034]"
"[476, 287]","[526, 250]","[429, 252]","[603, 959]","[185, 1041]","[536, 997]","[177, 1145]","[518, 945]","[184, 1091]","[537, 928]","[213, 1032]"
"[475, 287]","[526, 250]","[429, 252]","[601, 960]","[184, 1037]","[534, 997]","[176, 1133]","[518, 945]","[190, 1075]","[535, 929]","[211, 1025]"
"[475, 287]","[526, 250]","[428, 251]","[601, 962]","[183, 1031]","[538, 999]","[179, 1122]","[520, 947]","[192, 1052]","[537, 931]","[211, 1024]"
"[475, 286]","[526, 249]","[428, 251]","[601, 962]","[178, 1027]","[539, 999]","[176, 1107]","[521, 947]","[188, 1038]","[539, 931]","[204, 1015]"
