0,1,2,3,4,5,6,7,8,9,10
"[473, 260]","[520, 227]","[436, 226]","[640, 789]","[301, 802]","[600, 784]","[280, 824]","[602, 739]","[287, 782]","[611, 734]","[301, 769]"
"[466, 263]","[511, 228]","[427, 230]","[646, 791]","[285, 809]","[605, 789]","[262, 840]","[612, 745]","[265, 800]","[620, 740]","[279, 785]"
"[466, 264]","[510, 228]","[424, 232]","[644, 795]","[286, 802]","[601, 794]","[267, 835]","[607, 754]","[265, 793]","[616, 749]","[279, 778]"
"[463, 265]","[508, 229]","[421, 233]","[644, 796]","[282, 805]","[599, 798]","[262, 834]","[603, 759]","[262, 795]","[613, 754]","[277, 781]"
"[463, 265]","[508, 229]","[420, 234]","[641, 797]","[273, 806]","[596, 799]","[258, 832]","[598, 762]","[260, 792]","[608, 757]","[274, 777]"
"[463, 266]","[508, 229]","[419, 234]","[641, 796]","[274, 801]","[596, 799]","[256, 829]","[597, 761]","[257, 786]","[606, 756]","[273, 771]"
"[462, 266]","[508, 229]","[418, 235]","[642, 796]","[268, 808]","[595, 800]","[249, 835]","[596, 762]","[252, 793]","[606, 757]","[265, 777]"
"[462, 267]","[507, 229]","[417, 236]","[640, 794]","[262, 814]","[593, 800]","[246, 841]","[593, 762]","[249, 799]","[602, 756]","[261, 783]"
"[462, 268]","[507, 229]","[417, 237]","[637, 793]","[258, 814]","[590, 799]","[243, 842]","[590, 761]","[247, 799]","[600, 756]","[258, 783]"
"[461, 268]","[507, 230]","[417, 237]","[636, 792]","[257, 813]","[589, 799]","[243, 841]","[589, 761]","[245, 797]","[598, 756]","[257, 780]"
"[461, 268]","[506, 230]","[416, 238]","[636, 791]","[257, 812]","[589, 798]","[243, 841]","[589, 760]","[246, 796]","[598, 754]","[258, 779]"
"[461, 268]","[507, 230]","[416, 238]","[636, 790]","[257, 812]","[589, 797]","[244, 841]","[588, 757]","[247, 796]","[598, 752]","[258, 778]"
"[462, 268]","[507, 230]","[417, 238]","[636, 789]","[258, 812]","[590, 796]","[245, 841]","[588, 754]","[247, 796]","[598, 750]","[259, 778]"
"[462, 268]","[507, 230]","[417, 238]","[637, 788]","[258, 812]","[590, 795]","[245, 841]","[589, 752]","[247, 797]","[599, 748]","[259, 778]"
"[462, 268]","[507, 230]","[417, 238]","[638, 787]","[259, 812]","[591, 795]","[245, 842]","[590, 752]","[247, 798]","[600, 747]","[259, 780]"
"[462, 269]","[507, 230]","[417, 238]","[639, 787]","[259, 812]","[591, 795]","[243, 843]","[590, 751]","[245, 800]","[600, 747]","[258, 782]"
"[462, 269]","[507, 230]","[417, 238]","[640, 787]","[258, 814]","[592, 795]","[240, 845]","[592, 751]","[242, 802]","[602, 747]","[256, 785]"
"[462, 269]","[507, 230]","[417, 238]","[640, 787]","[258, 815]","[592, 795]","[238, 847]","[591, 751]","[240, 804]","[601, 747]","[253, 787]"
"[462, 269]","[507, 230]","[417, 238]","[640, 787]","[256, 816]","[592, 794]","[236, 848]","[591, 751]","[238, 805]","[601, 746]","[251, 788]"
"[462, 269]","[507, 230]","[417, 238]","[640, 787]","[255, 817]","[592, 794]","[234, 849]","[591, 751]","[237, 806]","[601, 746]","[249, 788]"
"[462, 269]","[507, 230]","[417, 238]","[640, 787]","[255, 817]","[592, 794]","[234, 850]","[590, 751]","[236, 806]","[600, 746]","[249, 789]"
"[462, 269]","[507, 230]","[417, 238]","[640, 787]","[254, 818]","[592, 794]","[233, 851]","[589, 751]","[236, 807]","[599, 746]","[248, 790]"
"[462, 269]","[507, 230]","[417, 238]","[640, 787]","[254, 818]","[592, 795]","[233, 851]","[588, 751]","[236, 807]","[599, 747]","[248, 790]"
"[462, 269]","[507, 230]","[417, 238]","[639, 787]","[253, 818]","[592, 795]","[233, 851]","[588, 751]","[235, 807]","[598, 747]","[247, 790]"
"[462, 269]","[507, 230]","[417, 238]","[638, 787]","[252, 818]","[590, 795]","[233, 851]","[585, 751]","[235, 807]","[596, 747]","[247, 790]"
"[462, 269]","[507, 230]","[417, 238]","[637, 787]","[252, 818]","[590, 795]","[233, 851]","[584, 751]","[235, 807]","[595, 747]","[247, 789]"
"[462, 269]","[507, 230]","[417, 238]","[637, 787]","[250, 818]","[590, 794]","[232, 851]","[583, 752]","[235, 806]","[594, 747]","[245, 789]"
"[462, 269]","[508, 230]","[417, 238]","[637, 787]","[248, 819]","[590, 794]","[232, 851]","[583, 752]","[235, 806]","[594, 747]","[245, 788]"
"[462, 269]","[508, 230]","[417, 238]","[637, 787]","[246, 819]","[589, 795]","[232, 851]","[582, 752]","[235, 806]","[593, 747]","[245, 788]"
"[462, 268]","[508, 230]","[417, 238]","[636, 787]","[246, 820]","[589, 795]","[232, 852]","[582, 752]","[235, 806]","[593, 747]","[245, 788]"
"[462, 268]","[508, 230]","[417, 238]","[636, 787]","[246, 820]","[589, 795]","[233, 852]","[582, 752]","[236, 806]","[593, 747]","[245, 789]"
"[462, 268]","[508, 230]","[417, 238]","[636, 787]","[246, 820]","[589, 795]","[234, 853]","[582, 753]","[238, 806]","[593, 747]","[246, 789]"
"[462, 267]","[508, 230]","[417, 238]","[636, 787]","[245, 820]","[589, 795]","[234, 853]","[582, 753]","[238, 806]","[593, 748]","[246, 789]"
"[462, 267]","[508, 229]","[417, 237]","[636, 788]","[245, 821]","[589, 796]","[234, 853]","[582, 754]","[238, 806]","[593, 748]","[246, 789]"
"[462, 267]","[508, 229]","[417, 237]","[635, 788]","[245, 822]","[588, 796]","[234, 854]","[582, 755]","[238, 807]","[593, 749]","[246, 790]"
"[462, 267]","[508, 229]","[417, 237]","[634, 788]","[246, 822]","[586, 796]","[234, 854]","[580, 755]","[238, 808]","[592, 749]","[246, 792]"
"[462, 266]","[508, 228]","[417, 237]","[634, 789]","[245, 823]","[585, 797]","[234, 857]","[579, 755]","[238, 811]","[592, 749]","[246, 795]"
"[462, 266]","[508, 228]","[417, 237]","[634, 789]","[245, 824]","[583, 797]","[235, 857]","[576, 755]","[240, 811]","[590, 750]","[248, 795]"
"[462, 265]","[508, 227]","[417, 236]","[634, 789]","[244, 825]","[583, 797]","[235, 860]","[576, 756]","[240, 815]","[590, 750]","[248, 799]"
"[463, 264]","[508, 226]","[418, 235]","[634, 789]","[244, 825]","[582, 797]","[234, 860]","[575, 756]","[240, 816]","[589, 750]","[248, 800]"
"[463, 263]","[508, 225]","[418, 235]","[634, 789]","[244, 827]","[582, 798]","[233, 862]","[575, 756]","[240, 817]","[589, 750]","[247, 801]"
"[463, 263]","[508, 225]","[418, 235]","[634, 790]","[244, 827]","[583, 798]","[233, 863]","[577, 758]","[240, 819]","[590, 752]","[247, 804]"
"[463, 263]","[508, 225]","[418, 235]","[636, 791]","[243, 828]","[585, 800]","[230, 863]","[578, 762]","[236, 820]","[591, 754]","[244, 805]"
"[463, 263]","[509, 225]","[418, 235]","[639, 793]","[240, 828]","[590, 804]","[227, 863]","[582, 767]","[234, 820]","[594, 759]","[241, 804]"
